id_sessao,tipo_carregador,energia_kwh,tempo_min,custo_rs,horario,status
1,Rápido,18.6,28,27.9,Manhã,Concluída
2,Rápido,34.2,41,51.3,Noite,Concluída
3,Normal,8.5,45,12.75,Manhã,Concluída
4,Rápido,30.3,42,45.45,Noite,Cancelada
5,Rápido,27.9,28,41.85,Manhã,Concluída
6,Normal,13.8,49,20.7,Manhã,Concluída
7,Rápido,20.0,23,30.0,Tarde,Concluída
8,Normal,21.7,86,32.55,Tarde,Concluída
9,Normal,9.3,58,13.95,Noite,Concluída
10,Rápido,33.5,21,50.25,Noite,Concluída
11,Normal,24.7,54,37.05,Manhã,Cancelada
12,Normal,15.7,63,23.55,Manhã,Concluída
13,Normal,11.6,57,17.4,Noite,Concluída
14,Rápido,29.8,27,44.7,Manhã,Cancelada
15,Normal,12.6,80,18.9,Noite,Concluída
16,Normal,22.3,89,33.45,Manhã,Concluída
17,Rápido,35.7,32,53.55,Tarde,Concluída
18,Rápido,38.1,38,57.15,Noite,Concluída
19,Rápido,32.4,32,48.6,Noite,Cancelada
20,Rápido,23.8,27,35.7,Noite,Concluída
21,Normal,23.3,65,34.95,Tarde,Concluída
22,Rápido,29.2,22,43.8,Manhã,Concluída
23,Rápido,31.8,45,47.7,Noite,Cancelada
24,Rápido,26.5,39,39.75,Tarde,Concluída
25,Rápido,33.0,23,49.5,Noite,Concluída
26,Normal,9.9,67,14.85,Manhã,Cancelada
27,Rápido,39.0,43,58.5,Tarde,Concluída
28,Rápido,37.2,29,55.8,Noite,Concluída
29,Rápido,26.2,25,39.3,Noite,Concluída
30,Normal,16.3,47,24.45,Tarde,Concluída
31,Rápido,19.3,38,28.95,Manhã,Concluída
32,Normal,21.9,88,32.85,Noite,Concluída
33,Rápido,32.5,37,48.75,Manhã,Concluída
34,Normal,24.4,74,36.6,Noite,Concluída
35,Normal,14.8,82,22.2,Noite,Concluída
36,Normal,23.3,68,34.95,Manhã,Concluída
37,Rápido,19.4,20,29.1,Noite,Concluída
38,Rápido,18.2,42,27.3,Noite,Concluída
39,Rápido,19.5,21,29.25,Tarde,Concluída
40,Rápido,24.1,35,36.15,Manhã,Concluída
41,Normal,12.1,70,18.15,Tarde,Concluída
42,Rápido,20.1,33,30.15,Tarde,Cancelada
43,Normal,15.9,86,23.85,Manhã,Concluída
44,Rápido,26.9,30,40.35,Manhã,Concluída
45,Rápido,22.2,34,33.3,Manhã,Cancelada
46,Rápido,24.1,27,36.15,Manhã,Cancelada
47,Rápido,19.1,37,28.65,Manhã,Concluída
48,Rápido,21.7,35,32.55,Tarde,Concluída
49,Normal,23.3,50,34.95,Tarde,Concluída
50,Normal,12.5,90,18.75,Tarde,Concluída
51,Normal,19.8,86,29.7,Noite,Cancelada
52,Rápido,22.2,26,33.3,Manhã,Concluída
53,Normal,9.0,77,13.5,Tarde,Concluída
54,Rápido,39.1,22,58.65,Manhã,Concluída
55,Rápido,32.9,27,49.35,Tarde,Concluída
56,Rápido,30.7,21,46.05,Noite,Concluída
57,Normal,19.2,76,28.8,Noite,Concluída
58,Normal,11.5,85,17.25,Tarde,Concluída
59,Normal,14.7,82,22.05,Noite,Concluída
60,Normal,13.4,88,20.1,Manhã,Concluída
